latitude,longitude,acq_date,satellite,confidence,frp,daynight,sensor,provinsi,frp_band,acq_datetime
-1.89008,115.86462,2026-08-19,T,84,21.28,D,modis,East Kalimantan,Sedang,2026-08-19 01:02:00
-2.14547,113.85201,2026-08-19,T,65,15.39,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.24297,114.33036,2026-08-19,T,89,34.26,D,modis,Central Kalimantan,Sedang,2026-08-19 01:02:00
-2.17776,113.81404,2026-08-19,T,59,6.53,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.18164,113.84097,2026-08-19,T,64,6.43,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.2518,114.32914,2026-08-19,T,65,17.73,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.08591,113.43388,2026-08-19,T,71,9.63,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
2.20051,117.30286,2026-08-19,N,nominal,6.29,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.29474,117.89378,2026-08-19,N,nominal,4.96,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.29721,117.90934,2026-08-19,N,nominal,15.92,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.31487,118.02026,2026-08-19,N,nominal,20.61,D,viirs,East Kalimantan,Sedang,2026-08-19 05:08:00
2.19998,117.29951,2026-08-19,N,high,6.29,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.29771,117.91242,2026-08-19,N,high,15.92,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.31536,118.02332,2026-08-19,N,high,20.61,D,viirs,East Kalimantan,Sedang,2026-08-19 05:08:00
2.18567,117.24493,2026-08-19,N,nominal,5.5,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.18683,117.25217,2026-08-19,N,nominal,5.16,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.29449,117.92564,2026-08-19,N,nominal,31.63,D,viirs,East Kalimantan,Sedang,2026-08-19 05:08:00
2.30533,117.99361,2026-08-19,N,high,11.19,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.30971,118.02103,2026-08-19,N,nominal,20.61,D,viirs,East Kalimantan,Sedang,2026-08-19 05:08:00
2.31019,118.02407,2026-08-19,N,nominal,20.61,D,viirs,East Kalimantan,Sedang,2026-08-19 05:08:00
2.2502,117.6483,2026-08-19,N,high,17.07,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.29498,117.92875,2026-08-19,N,high,37.45,D,viirs,East Kalimantan,Sedang,2026-08-19 05:08:00
2.15723,117.13757,2026-08-19,N,nominal,4.79,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.18751,117.29115,2026-08-19,N,nominal,5.8,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.27935,117.86431,2026-08-19,N,nominal,2.66,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.27984,117.8674,2026-08-19,N,nominal,6.43,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.28183,117.87984,2026-08-19,N,high,17.06,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.29893,117.88655,2026-08-19,N,nominal,6.45,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.15665,117.134,2026-08-19,N,nominal,4.79,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.30484,117.99053,2026-08-19,N,nominal,11.19,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.29475,117.82654,2026-08-19,N,high,24.78,D,viirs,East Kalimantan,Sedang,2026-08-19 05:08:00
2.29407,117.82434,2026-08-19,N,nominal,13.44,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.32521,118.01873,2026-08-19,N,nominal,8.1,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.3338,117.96742,2026-08-19,N,nominal,0.97,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.18206,117.29195,2026-08-19,N,nominal,5.8,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.32356,117.93763,2026-08-19,N,nominal,11.71,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.32407,117.94069,2026-08-19,N,nominal,12.73,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
