acq_datetime;acq_date;latitude;longitude;frp;frp_band;provinsi;provinsi_id;sensor;satellite;confidence;daynight
2026-08-22 05:53:00;2026-08-22;-2,4313;113,1048;4,48;Rendah;Central Kalimantan;Kalimantan Tengah;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,0829;115,9866;4,13;Rendah;East Kalimantan;Kalimantan Timur;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,079;115,9895;4,2;Rendah;East Kalimantan;Kalimantan Timur;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,952;116,2642;9,25;Rendah;East Kalimantan;Kalimantan Timur;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,9246;110,3646;4,75;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,1694;115,2854;10,05;Rendah;Central Kalimantan;Kalimantan Tengah;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,9157;110,3633;6,79;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,9164;110,359;6,79;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,912;110,3584;4,98;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,3569;114,0072;8,21;Rendah;Central Kalimantan;Kalimantan Tengah;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,5147;112,915;6,02;Rendah;Central Kalimantan;Kalimantan Tengah;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,5639;114,6882;3,82;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,5602;112,8673;19,18;Rendah;Central Kalimantan;Kalimantan Tengah;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,8872;110,4029;6,97;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,3369;113,9962;6,71;Rendah;Central Kalimantan;Kalimantan Tengah;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,3334;113,9956;18,96;Rendah;Central Kalimantan;Kalimantan Tengah;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,314;114,0765;5,24;Rendah;Central Kalimantan;Kalimantan Tengah;viirs;N;low;D
2026-08-22 05:53:00;2026-08-22;-2,484;112,9421;23,08;Sedang;Central Kalimantan;Kalimantan Tengah;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,9794;116,1516;23,66;Sedang;East Kalimantan;Kalimantan Timur;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,0065;115,9288;21,34;Sedang;East Kalimantan;Kalimantan Timur;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,511;112,9145;9,12;Rendah;Central Kalimantan;Kalimantan Tengah;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,7646;114,9259;5,76;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,4375;113,7568;5,91;Rendah;Central Kalimantan;Kalimantan Tengah;viirs;N;low;D
2026-08-22 05:53:00;2026-08-22;-3,2666;114,9232;6,48;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,8183;114,6329;3,93;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,8197;114,6371;7,35;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,8203;114,6333;4,64;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,8157;114,6403;7,35;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,8163;114,6365;7,35;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,8168;114,6327;4,64;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,5276;116,348;4,64;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,7653;114,7145;1,7;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,5519;115,851;22,44;Sedang;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,8217;114,6334;3,93;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
